timestamp,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,delta,sequence_id,label
13:29.8,21.885496,-8.534351,-117.290077,-0.043245,-0.026683,0.221692,0.201291,22,x
13:30.0,134.374039,14.801527,5.480916,-0.076396,-0.037941,0.155688,0.200379,22,x
13:30.2,97.381676,17.595419,79,-0.030607,-0.002787,0.081349,0.201292,22,x
13:30.4,-23.137405,14.335877,53.854961,0.053637,0.032637,0.036804,0.200709,22,x
13:31.2,3.129771,20,8.916031,-0.070876,0.062026,0.12251,0.721383,23,x
13:31.4,-61.748093,36.67939,44.190838,0.002869,-0.001813,0.056722,0.200678,23,x
13:31.6,-129.160309,1.877863,-23.580153,0.068169,-0.007117,0.155769,0.201032,23,x
13:31.8,-59.427483,-8.389313,-126.694656,0.03288,-0.014262,0.211544,0.201002,23,x
13:32.0,102.458015,14.610687,-61.862595,-0.083568,-0.013693,0.216226,0.200001,23,x
13:32.2,115.450378,44.480915,33.786259,-0.073528,-0.021893,0.097911,0.201102,23,x
13:32.4,11.61832,28.793894,97.748093,0.005142,0.012313,0.044003,0.201005,23,x
13:33.3,-34.145039,58.67939,101,-0.037237,-0.002463,0.017996,0.921994,24,x
13:33.5,-122.549622,49.106869,-26.061069,0.073446,-0.025087,0.131846,0.200895,24,x
13:33.7,-77.938934,-20.022902,-144.702286,0.011231,-0.036507,0.221692,0.201514,24,x
13:33.9,91.732826,-5.099236,-85.809158,-0.072229,-0.02487,0.207593,0.200547,24,x
13:34.1,121.770996,19.137405,22.526718,-0.069577,-0.015642,0.111577,0.199972,24,x
13:34.3,81.587784,37.709923,86.022903,-0.011231,0.014911,0.047602,0.200995,24,x
13:35.2,-18.282442,30.748091,61.206108,-0.039402,0.019539,0.059374,0.923239,25,x
13:35.4,-97.198471,35.061069,28.931297,0.061296,-0.006847,0.082458,0.200027,25,x
13:35.6,-87.60305,-11.664123,-81.488548,0.027495,-0.01759,0.221692,0.201207,25,x
13:35.8,9.335877,-33.412212,-106.152672,-0.006333,-0.017428,0.221692,0.200756,25,x
13:36.0,102.312981,-27.67939,-24.885496,-0.052257,-0.016887,0.165241,0.201001,25,x
13:36.2,101.916031,39.816795,45.946564,-0.052906,-0.001299,0.095448,0.200549,25,x
13:36.4,24.587786,26.32061,79.610687,0.003166,0.020432,0.043813,0.200103,25,x
13:37.2,11.877863,31.984734,76.198471,-0.03196,0.023571,0.082215,0.824625,26,x
13:37.4,-93.534348,-9.59542,57.854961,0.04154,-0.012638,0.092038,0.200571,26,x
13:37.6,-105.022903,-19.862595,-79.984734,0.075882,-0.013531,0.210651,0.201709,26,x
13:37.8,31.816793,5.816794,-119.076332,-0.026277,-0.019539,0.219879,0.199599,26,x
13:38.0,98.167938,20.160305,-31.748091,-0.070903,-0.015182,0.160099,0.201765,26,x
13:38.2,67.381676,56.175571,73.541985,-0.027603,0.004628,0.082972,0.19997,26,x
13:38.4,-0.160305,24.67939,21.030535,0.047548,0.044815,0.069739,0.200533,26,x
13:39.3,-64.870232,18.38168,55.465649,0.027522,0.010906,0.071958,0.822738,27,x
13:39.5,-82.877861,-14.351145,-47.984734,0.0456,-8.10E-05,0.165187,0.199903,27,x
13:39.7,-22.671755,-21.045801,-106.076332,0.007632,-0.008741,0.19509,0.201861,27,x
13:39.9,63.877861,46.114502,-93.992363,-0.059564,-0.016318,0.168299,0.20081,27,x
13:40.1,77.549622,9.106871,20.251909,-0.034477,0.013775,0.134661,0.198478,27,x
13:40.3,37.061069,32.244274,74.893127,-0.011123,0.012638,0.071227,0.202383,27,x
13:41.1,8.244275,48.648853,47.259541,-0.053556,0.029065,0.078264,0.820822,28,x
13:41.3,-73.809158,29.969465,37.236641,0.055694,0.001082,0.072147,0.20099,28,x
13:41.5,-99.061066,1.534351,-83.068703,0.08216,-0.012178,0.18183,0.201265,28,x
13:41.7,-13.503817,-15.557252,-155.778625,0.000731,-0.033286,0.213141,0.202394,28,x
13:41.9,102.60305,23.442749,-25.312977,-0.065761,-0.016806,0.168759,0.200229,28,x
13:42.1,77.977097,25.282442,80.244278,-0.033557,-0.004655,0.069008,0.200478,28,x
